task_id,parent_id,phase,title,goal,owner_lane,owner_agent,helper_id,model_tag,agent_runtime,shell_mode,repo_target,repo_path,filesystem_scope,input_files,target_files,target_artifacts,allowed_paths,blocked_paths,depends_on,blocks,parallel_group,can_run_parallel,max_parallel,start_after,priority,status,execution_cell,required_tools,command_template,verification_command,completion_gate,proof_required,proof_uri,heartbeat_file,logs_uri,rollback_plan,risk_level,human_approval_required,notes
REQ-200_FLEXNETOS_TARGET_DESCRIPTOR,,06-flexnetos,Create FlexNetOS target descriptor,Describe ~/home/flexnetos/FlexNetOS and ~/home/flexnetos/lifeos as migration comparison targets,lane_d_filesystem,flexnetos-agent,helper-flexnetos-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,~/home/flexnetos,target-filesystem,examples/target-descriptors/flexnetos-vs-lifeos.yaml|source/codex-flexnetos-migration-prompt-package/**,target descriptor updates,FlexNetOS target descriptor,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-040_SHARED_PROTOCOL_SCHEMAS,REQ-201_FLEXNETOS_LIFEOS_COMPARISON,flexnetos,false,1,,500,pending,06-flexnetos,codex|python3|shell,codex exec < generated/execution_packets/REQ-200_FLEXNETOS_TARGET_DESCRIPTOR.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/REQ-200_FLEXNETOS_TARGET_DESCRIPTOR.proof.json,state/REQ-200_FLEXNETOS_TARGET_DESCRIPTOR.heartbeat.json,logs/REQ-200_FLEXNETOS_TARGET_DESCRIPTOR.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Generated by execution framework.
REQ-201_FLEXNETOS_LIFEOS_COMPARISON,,06-flexnetos,Investigate FlexNetOS vs lifeos usage,"Determine what FlexNetOS was used for instead of lifeos through artifacts, history, code maps, and dependency scans",lane_d_filesystem,flexnetos-agent,helper-flexnetos-02,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,~/home/flexnetos,target-filesystem,~/home/flexnetos/FlexNetOS/**|~/home/flexnetos/lifeos/**,migration-artifacts/flexnetos-comparison/**,FlexNetOS comparison evidence,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-200_FLEXNETOS_TARGET_DESCRIPTOR|ART-101_DIRECTORY_TREE|ART-102_REPOSITORY_MAP|ART-103_SERVICE_DEP_GRAPH|ART-113_DEBUG_CODE_MAP,REQ-202_FLEXNETOS_ADAPTER_RECIPE,flexnetos,false,1,,510,pending,06-flexnetos,codex|python3|shell,codex exec < generated/execution_packets/REQ-201_FLEXNETOS_LIFEOS_COMPARISON.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/REQ-201_FLEXNETOS_LIFEOS_COMPARISON.proof.json,state/REQ-201_FLEXNETOS_LIFEOS_COMPARISON.heartbeat.json,logs/REQ-201_FLEXNETOS_LIFEOS_COMPARISON.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,false,Generated by execution framework.
REQ-202_FLEXNETOS_ADAPTER_RECIPE,,06-flexnetos,Build FlexNetOS adapter recipe,Make the prior Codex FlexNetOS package executable as a reusable envctl migration target adapter,lane_b_repo_a,flexnetos-adapter-agent,helper-flexnetos-adapter-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,source/codex-flexnetos-migration-prompt-package/**|REQ-201_FLEXNETOS_LIFEOS_COMPARISON|${ENVCTL_REPO}/docs/**|${NU_PLUGIN_REPO}/docs/**|${MIGRATION_TARGET_ROOT}/docs/**,docs/FLEXNETOS_ADAPTER_RECIPE.md|generated/flexnetos_adapter_recipe.json|generated/flexnetos_adapter_recipe_validation_report.json|scripts/verify_flexnetos_adapter_recipe.py,FlexNetOS adapter,docs/FLEXNETOS_ADAPTER_RECIPE.md|generated/flexnetos_adapter_recipe.json|generated/flexnetos_adapter_recipe_validation_report.json|scripts/verify_flexnetos_adapter_recipe.py|proof_records/REQ-202_FLEXNETOS_ADAPTER_RECIPE.proof.json|state/REQ-202_FLEXNETOS_ADAPTER_RECIPE.heartbeat.json|logs/REQ-202_FLEXNETOS_ADAPTER_RECIPE.log,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-201_FLEXNETOS_LIFEOS_COMPARISON|REQ-027_ENVCTL_REPLAY_ENGINE,VER-300_UNIT_VALIDATION,flexnetos,false,1,,520,pending,06-flexnetos,codex|python3|shell,codex exec < generated/execution_packets/REQ-202_FLEXNETOS_ADAPTER_RECIPE.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/REQ-202_FLEXNETOS_ADAPTER_RECIPE.proof.json,state/REQ-202_FLEXNETOS_ADAPTER_RECIPE.heartbeat.json,logs/REQ-202_FLEXNETOS_ADAPTER_RECIPE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,true,"Generated by execution framework; envctl, nu_plugin, and migration target roots are read-only inputs for this packet unless a future task-specific approval expands scope."
VER-300_UNIT_VALIDATION,,07-verification,Run unit/integration validation,"Validate envctl DB, nu_plugin, shared protocol, artifacts, and FlexNetOS adapter",lane_e_verification,validation-agent,helper-validate-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,multi_repo,${ENVCTL_REPO}|${NU_PLUGIN_REPO},repo-pair,REQ-041_TWO_REPO_INTEGRATION|ART-*|REQ-202_FLEXNETOS_ADAPTER_RECIPE,test reports and validation evidence,validation results,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,REQ-041_TWO_REPO_INTEGRATION|REQ-202_FLEXNETOS_ADAPTER_RECIPE|ART-123_VALIDATION_RECONCILIATION,VER-301_SQL_SCHEMA_TEST,verification,false,1,,600,pending,07-verification,codex|python3|shell,codex exec < generated/execution_packets/VER-300_UNIT_VALIDATION.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/VER-300_UNIT_VALIDATION.proof.json,state/VER-300_UNIT_VALIDATION.heartbeat.json,logs/VER-300_UNIT_VALIDATION.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,true,Generated by execution framework.
VER-301_SQL_SCHEMA_TEST,,07-verification,Run SQL schema tests,Apply schema migrations to test DB and validate views/indexes/seed data,lane_e_verification,sql-test-agent,helper-sql-test-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,repo_a,${ENVCTL_REPO},repo,sql/**,SQL test output,schema validation,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,VER-300_UNIT_VALIDATION,VER-302_PACKET_SCHEMA_VALIDATION,verification,false,1,,610,pending,07-verification,codex|python3|shell,codex exec < generated/execution_packets/VER-301_SQL_SCHEMA_TEST.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/VER-301_SQL_SCHEMA_TEST.proof.json,state/VER-301_SQL_SCHEMA_TEST.heartbeat.json,logs/VER-301_SQL_SCHEMA_TEST.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,false,Generated by execution framework.
VER-302_PACKET_SCHEMA_VALIDATION,,07-verification,Validate packets and schemas,Validate every execution packet and JSON schema contract,lane_e_verification,schema-validation-agent,helper-schema-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,..,package-root,execution-framework/generated/execution_packets/*.json|execution-framework/schemas/*.json,schema validation reports,packet/schema validation,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,VER-301_SQL_SCHEMA_TEST|REQ-042_FILESYSTEM_BOUNDS|REQ-043_SECURITY_REDACTION,VER-303_GOAL_LOOP_COMPUTE,verification,false,1,,620,pending,07-verification,codex|python3|shell,codex exec < generated/execution_packets/VER-302_PACKET_SCHEMA_VALIDATION.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/VER-302_PACKET_SCHEMA_VALIDATION.proof.json,state/VER-302_PACKET_SCHEMA_VALIDATION.heartbeat.json,logs/VER-302_PACKET_SCHEMA_VALIDATION.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Generated by execution framework.
VER-303_GOAL_LOOP_COMPUTE,,07-verification,Compute complete /goal run path,Ensure the /goal loop can compute a complete run path or stop at explicit approval blockers,lane_e_verification,goal-validation-agent,helper-goal-validate-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,..,package-root,execution-framework/generated/task_graph.normalized.json|execution-framework/proof_records/proof_ledger.jsonl,goal loop validation report,goal loop status,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,VER-302_PACKET_SCHEMA_VALIDATION|REQ-045_RUN_REPLAY,VER-304_FINAL_COMPLETENESS,verification,false,1,,630,pending,07-verification,codex|python3|shell,codex exec < generated/execution_packets/VER-303_GOAL_LOOP_COMPUTE.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/VER-303_GOAL_LOOP_COMPUTE.proof.json,state/VER-303_GOAL_LOOP_COMPUTE.heartbeat.json,logs/VER-303_GOAL_LOOP_COMPUTE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,high,false,Generated by execution framework.
VER-304_FINAL_COMPLETENESS,,07-verification,Run final completeness check,Prove every source requirement is covered by a task or explicit blocker,lane_e_verification,final-completeness-agent,helper-complete-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,..,package-root,execution-framework/generated/**|execution-framework/proof_records/**|history/**,final verification report,final verification,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,VER-303_GOAL_LOOP_COMPUTE,REL-400_PACKAGE_ARCHIVE,verification,false,1,,640,pending,07-verification,codex|python3|shell,codex exec < generated/execution_packets/VER-304_FINAL_COMPLETENESS.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/VER-304_FINAL_COMPLETENESS.proof.json,state/VER-304_FINAL_COMPLETENESS.heartbeat.json,logs/VER-304_FINAL_COMPLETENESS.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,critical,false,Generated by execution framework.
REL-400_PACKAGE_ARCHIVE,,08-release,Create upgraded package archive,Create tar.gz and zip archives for Drive upload/application,lane_f_release,release-agent,helper-release-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,/mnt/data,archive-output,envctl-db-nu-plugin-migration-automation-package/**,tar.gz|zip,release archives,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,VER-304_FINAL_COMPLETENESS,REL-401_HANDOFF,release,false,1,,700,pending,08-release,codex|python3|shell,codex exec < generated/execution_packets/REL-400_PACKAGE_ARCHIVE.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/REL-400_PACKAGE_ARCHIVE.proof.json,state/REL-400_PACKAGE_ARCHIVE.heartbeat.json,logs/REL-400_PACKAGE_ARCHIVE.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Generated by execution framework.
REL-401_HANDOFF,,08-release,Prepare final handoff,"Return access status, files created, commands run, verification result, blockers, and artifact links",lane_f_release,handoff-agent,helper-handoff-01,gpt-5.3-spark,codex-cli-background-shell,workspace-write,filesystem,/mnt/data,chat-output,generated/final_verification_report.json|docs/FINAL_VERIFICATION.md,final response,handoff report,${ENVCTL_REPO}/**|${NU_PLUGIN_REPO}/**|${MIGRATION_TARGET_ROOT}/**|execution-framework/**|migration-artifacts/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-008_VERIFY_HISTORY_COMPLETENESS|REL-400_PACKAGE_ARCHIVE,,release,false,1,,710,pending,08-release,codex|python3|shell,codex exec < generated/execution_packets/REL-401_HANDOFF.json,task-specific verification command and proof file exists,"proof exists, validation passes, no secret exposure",true,proof_records/REL-401_HANDOFF.proof.json,state/REL-401_HANDOFF.heartbeat.json,logs/REL-401_HANDOFF.log,Use history/pre_execution_framework_manifest.json and remove only files added by this task unless a task-specific rollback is listed.,medium,false,Generated by execution framework.
MAINT-500_README_NAV_BACKTRACE,,09-drive-maintenance,Record README navigation/backtrace update,Close stale README navigation gap by recording v0-v5 history and Codex entry pointers.,lane_e_verification,drive-live-maintenance-agent,helper-drive-live-01,gpt-5.3-spark,google-drive-connector,workspace-write,filesystem,~/envctl-db-nu-plugin-migration-automation-package,package-root,history/**|execution-framework/generated/**|execution-framework/proof_records/**|README.md,README.md|execution-framework/proof_records/MAINT-500_README_NAV_BACKTRACE.proof.json,drive-live-gap-closure,~/envctl-db-nu-plugin-migration-automation-package/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-008_VERIFY_HISTORY_COMPLETENESS,MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC,drive_live_maintenance,TRUE,2,,900,complete,drive-live-maintenance,Google_Drive|python3,Apply surgical Drive/package metadata update; no destructive rewrites.,Verify target file exists and proof record is present in proof ledger.,target exists; proof exists; no stale gap remains for this maintenance item,TRUE,execution-framework/proof_records/MAINT-500_README_NAV_BACKTRACE.proof.json,execution-framework/state/MAINT-500_README_NAV_BACKTRACE.heartbeat.json,execution-framework/logs/MAINT-500_README_NAV_BACKTRACE.log,Revert only this maintenance addendum or restore prior Drive revision; do not remove source package history.,low,FALSE,"README has v0-v5, task graph, manifest, packets, goal state and proof ledger pointers."
MAINT-501_RESTORE_PROOF_TEMPLATE,,09-drive-maintenance,Restore proof template carried from v4,Close downgrade-style artifact gap by restoring proof_templates/PROOF_RECORD_TEMPLATE.json from v4.,lane_e_verification,drive-live-maintenance-agent,helper-drive-live-01,gpt-5.3-spark,google-drive-connector,workspace-write,filesystem,~/envctl-db-nu-plugin-migration-automation-package,package-root,history/**|execution-framework/generated/**|execution-framework/proof_records/**|README.md,execution-framework/proof_templates/PROOF_RECORD_TEMPLATE.json|execution-framework/proof_records/MAINT-501_RESTORE_PROOF_TEMPLATE.proof.json,drive-live-gap-closure,~/envctl-db-nu-plugin-migration-automation-package/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,EF-008_VERIFY_HISTORY_COMPLETENESS,MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC,drive_live_maintenance,TRUE,2,,900,complete,drive-live-maintenance,Google_Drive|python3,Apply surgical Drive/package metadata update; no destructive rewrites.,Verify target file exists and proof record is present in proof ledger.,target exists; proof exists; no stale gap remains for this maintenance item,TRUE,execution-framework/proof_records/MAINT-501_RESTORE_PROOF_TEMPLATE.proof.json,execution-framework/state/MAINT-501_RESTORE_PROOF_TEMPLATE.heartbeat.json,execution-framework/logs/MAINT-501_RESTORE_PROOF_TEMPLATE.log,Revert only this maintenance addendum or restore prior Drive revision; do not remove source package history.,low,FALSE,Current final execution-framework now includes proof_templates with proof record template.
MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC,,09-drive-maintenance,Synchronize live verification and manifest records,Close stale generated verification/package manifest gaps after live Drive edits.,lane_e_verification,drive-live-maintenance-agent,helper-drive-live-01,gpt-5.3-spark,google-drive-connector,workspace-write,filesystem,~/envctl-db-nu-plugin-migration-automation-package,package-root,history/**|execution-framework/generated/**|execution-framework/proof_records/**|README.md,PACKAGE_MANIFEST.json|execution-framework/generated/final_verification_report.json|execution-framework/generated/status_report.json|execution-framework/generated/execution_manifest.json|execution-framework/generated/task_graph.normalized.json|execution-framework/generated/task_graph.index.json|execution-framework/generated/live_drive_gap_closure_report.json|execution-framework/proof_records/MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC.proof.json,drive-live-gap-closure,~/envctl-db-nu-plugin-migration-automation-package/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,MAINT-500_README_NAV_BACKTRACE|MAINT-501_RESTORE_PROOF_TEMPLATE,MAINT-503_CODEX_FINAL_PROMPT,drive_live_maintenance,FALSE,2,,900,complete,drive-live-maintenance,Google_Drive|python3,Apply surgical Drive/package metadata update; no destructive rewrites.,Verify target file exists and proof record is present in proof ledger.,target exists; proof exists; no stale gap remains for this maintenance item,TRUE,execution-framework/proof_records/MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC.proof.json,execution-framework/state/MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC.heartbeat.json,execution-framework/logs/MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC.log,Revert only this maintenance addendum or restore prior Drive revision; do not remove source package history.,low,FALSE,Generated records now include drive-live maintenance tasks and clear stale external blocker.
MAINT-503_CODEX_FINAL_PROMPT,,09-drive-maintenance,Create final Codex execution prompt,Create one root prompt that tells Codex how to execute from extracted package directory.,lane_e_verification,drive-live-maintenance-agent,helper-drive-live-01,gpt-5.3-spark,google-drive-connector,workspace-write,filesystem,~/envctl-db-nu-plugin-migration-automation-package,package-root,history/**|execution-framework/generated/**|execution-framework/proof_records/**|README.md,CODEX_FINAL_EXECUTION_PROMPT.md|prompts/CODEX_FINAL_EXECUTION_PROMPT.md|execution-framework/proof_records/MAINT-503_CODEX_FINAL_PROMPT.proof.json,drive-live-gap-closure,~/envctl-db-nu-plugin-migration-automation-package/**,**/.env|**/secrets/**|**/private_keys/**|**/*.pem|**/*.key,MAINT-502_LIVE_MANIFEST_VERIFICATION_SYNC,,drive_live_maintenance,FALSE,2,,900,complete,drive-live-maintenance,Google_Drive|python3,Apply surgical Drive/package metadata update; no destructive rewrites.,Verify target file exists and proof record is present in proof ledger.,target exists; proof exists; no stale gap remains for this maintenance item,TRUE,execution-framework/proof_records/MAINT-503_CODEX_FINAL_PROMPT.proof.json,execution-framework/state/MAINT-503_CODEX_FINAL_PROMPT.heartbeat.json,execution-framework/logs/MAINT-503_CODEX_FINAL_PROMPT.log,Revert only this maintenance addendum or restore prior Drive revision; do not remove source package history.,low,FALSE,"Final prompt references ~/envctl-db-nu-plugin-migration-automation-package/ and directs Codex to task graph, manifest and packets."
